EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
1774,49,10,No,51.28,40,Salary,106454.4,61,Human Resources,Male,Divorced,3.0,15.0,Mail Check,Yes
1776,56,11,Yes,78.94,40,Salary,164335.2,3,Sales,Female,Divorced,9.0,18.0,Mail Check,Yes
1777,60,10,No,83.23,40,Salary,173128.4,6,Sales,Female,Married,4.0,19.0,Mail Check,Yes
1778,48,11,Yes,78.04,40,Salary,162323.2,24,Research,Female,Divorced,9.0,21.0,Mail Check,Yes
1779,21,1,Yes,20.02,40,Salary,41641.6,36,Marketing,Female,Single,1.0,17.0,Direct Deposit,Yes
1785,61,11,No,96.27,40,Salary,200241.6,63,Healthcare,Female,Married,1.0,7.0,Direct Deposit,Yes
1789,45,17,Yes,83.43,40,Salary,173534.4,49,Human Resources,Male,Married,8.0,20.0,Mail Check,Yes
1792,30,8,No,24.59,40,Salary,51147.2,64,Research,Female,Married,1.0,21.0,Direct Deposit,Yes
1793,46,16,No,76.89,40,Salary,159931.2,46,Research,Male,Married,1.0,14.0,Mail Check,Yes
1794,54,5,No,70.24,40,Salary,146099.2,17,Human Resources,Female,Married,9.0,16.0,Mail Check,Yes
1795,51,16,No,97.61,40,Salary,203028.8,15,Marketing,Female,Divorced,4.0,11.0,Mail Check,Yes
1796,55,10,Yes,44.41,40,Salary,92372.8,72,Sales,Female,Divorced,2.0,5.0,Mail Check,Yes
1797,52,6,Yes,39.17,40,Salary,81473.6,41,Information Technology,Female,Single,1.0,11.0,Mail Check,Yes
1804,43,5,No,54.83,40,Salary,114046.4,35,Healthcare,Male,Single,2.0,5.0,Mail Check,No
1805,59,14,No,41.36,40,Salary,86028.8,39,Marketing,Male,Divorced,4.0,19.0,Mail Check,Yes
1807,22,1,Yes,20.6,40,Salary,42848.0,49,Information Technology,Female,Married,1.0,22.0,Mail Check,No
1809,51,16,Yes,45.16,40,Salary,93932.8,54,Healthcare,Female,Single,7.0,8.0,Mail Check,No
1810,50,7,Yes,33.58,40,Salary,69846.4,42,Information Technology,Female,Divorced,5.0,13.0,Mail Check,No
1812,58,6,No,62.73,40,Salary,130478.4,72,Marketing,Female,Married,7.0,5.0,Mail Check,Yes
1814,53,8,Yes,45.88,40,Salary,95430.4,67,Laboratory,Female,Divorced,8.0,22.0,Mail Check,Yes
1815,46,6,No,67.15,40,Salary,139672.0,16,Laboratory,Female,Married,4.0,12.0,Mail Check,Yes
1816,28,1,Yes,24.32,40,Salary,50585.6,23,Information Technology,Female,Married,3.0,19.0,Direct Deposit,Yes
1818,34,3,No,30.76,40,Salary,63980.8,21,Laboratory,Female,Divorced,6.0,18.0,Direct Deposit,Yes
1821,36,1,Yes,29.83,40,Salary,62046.4,6,Sales,Female,Divorced,6.0,25.0,Mail Check,Yes
1824,49,7,No,32.63,40,Salary,67870.4,32,Healthcare,Male,Divorced,4.0,21.0,Mail Check,No
1827,30,6,No,27.67,40,Salary,57553.6,35,Human Resources,Male,Single,2.0,22.0,Direct Deposit,Yes
1829,34,4,No,28.16,40,Salary,37772.8,64,Healthcare,Male,Divorced,5.0,23.0,Mail Check,Yes
1830,55,11,Yes,32.93,40,Salary,68494.4,42,Research,Female,Married,5.0,17.0,Mail Check,Yes
1831,50,17,No,67.53,40,Salary,140462.4,79,Research,Female,Married,7.0,17.0,Mail Check,Yes
1833,57,16,Yes,71.9,40,Salary,149552.0,52,Research,Female,Divorced,9.0,15.0,Direct Deposit,Yes
1834,52,7,Yes,63.4,40,Salary,132872.0,24,Healthcare,Male,Divorced,8.0,16.0,Mail Check,Yes
1839,44,15,No,85.55,40,Salary,177944.0,50,Sales,Female,Married,1.0,11.0,Mail Check,Yes
1840,42,2,No,44.42,40,Salary,92393.6,0,Information Technology,Male,Divorced,6.0,7.0,Mail Check,Yes
1841,39,8,No,97.4,40,Salary,202592.0,24,Human Resources,Female,Single,1.0,18.0,Direct Deposit,No
1842,54,11,No,48.5,40,Salary,100880.0,74,Research,Female,Married,2.0,8.0,Mail Check,Yes
1845,43,9,No,45.83,40,Salary,95326.4,40,Research,Female,Divorced,8.0,6.0,Mail Check,Yes
1846,27,6,Yes,20.64,40,Salary,42931.2,0,Research,Male,Married,2.0,8.0,Mail Check,No
1848,56,11,Yes,96.33,40,Salary,200075.2,17,Manufacturing,Female,Single,8.0,5.0,Mail Check,No
1851,39,4,No,34.66,40,Salary,72092.8,81,Sales,Female,Married,1.0,18.0,Direct Deposit,Yes
1852,33,1,Yes,30.02,40,Salary,62441.6,33,Laboratory,Female,Single,2.0,25.0,Mail Check,Yes
1853,57,15,No,64.72,40,Salary,134617.6,16,Information Technology,Female,Divorced,3.0,25.0,Mail Check,Yes
1856,32,8,Yes,28.31,40,Salary,58884.8,86,Research,Female,Married,3.0,22.0,Direct Deposit,Yes
1857,44,6,No,49.1,40,Salary,102128.0,30,Sales,Female,Divorced,3.0,12.0,Mail Check,Yes
1859,38,3,No,33.3,40,Salary,69264.0,61,Sales,Male,Divorced,5.0,21.0,Mail Check,Yes
1861,39,5,No,82.14,40,Salary,170851.2,16,Sales,Male,Divorced,1.0,17.0,Direct Deposit,Yes
1863,41,2,No,86.01,40,Salary,178900.8,49,Manufacturing,Female,Divorced,8.0,12.0,Direct Deposit,Yes
1864,43,3,Yes,97.12,40,Salary,202009.6,50,Research,Prefer Not to Answer,Divorced,2.0,19.0,Direct Deposit,Yes
1867,61,15,No,61.54,40,Salary,128003.2,85,Healthcare,Male,Single,1.0,24.0,Mail Check,No
1868,33,7,Yes,27.61,40,Salary,57428.8,40,Healthcare,Female,Married,3.0,7.0,Mail Check,Yes
1869,41,10,No,58.59,40,Salary,122867.2,85,Information Technology,Male,Divorced,5.0,24.0,Mail Check,Yes
1870,61,14,Yes,69.91,40,Salary,145412.8,77,Healthcare,Female,Divorced,6.0,21.0,Mail Check,Yes
1871,43,8,Yes,42.17,40,Salary,87713.6,21,Information Technology,Female,Single,8.0,6.0,Mail Check,Yes
1872,38,4,Yes,32.28,40,Salary,66934.4,59,Research,Female,Divorced,2.0,7.0,Mail Check,No
1873,56,13,No,79.77,40,Salary,165921.6,4,Research,Female,Married,7.0,25.0,Mail Check,Yes
1875,47,10,Yes,43.64,40,Salary,90771.2,42,Sales,Female,Single,2.0,22.0,Mail Check,No
1877,44,10,No,71.45,40,Salary,148616.0,81,Sales,Female,Married,6.0,25.0,Mail Check,Yes
1879,37,1,Yes,82.46,40,Salary,171516.8,76,Manufacturing,Female,Divorced,4.0,15.0,Mail Check,Yes
1881,32,1,No,23.58,40,Salary,49046.4,84,Healthcare,Female,Single,2.0,24.0,Direct Deposit,Yes
1882,44,16,No,35.06,40,Salary,72924.8,59,Sales,Female,Divorced,2.0,10.0,Direct Deposit,Yes
1888,48,20,Yes,42.68,40,Salary,88774.4,3,Sales,Male,Married,7.0,19.0,Mail Check,Yes
1891,48,16,Yes,60.9,40,Salary,126672.0,67,Research,Male,Single,5.0,15.0,Direct Deposit,No
1893,37,10,Yes,50.05,40,Salary,104104.0,33,Marketing,Male,Divorced,6.0,21.0,Mail Check,Yes
1896,37,4,No,30.76,40,Salary,63980.8,69,Research,Male,Divorced,1.0,19.0,Mail Check,No
1897,38,8,No,56.24,40,Salary,116979.2,11,Marketing,Female,Single,2.0,22.0,Mail Check,No
1899,39,3,No,58.52,40,Salary,121721.6,82,Information Technology,Male,Divorced,2.0,21.0,Mail Check,Yes
1900,47,7,No,84.3,40,Salary,175344.0,68,Sales,Male,Married,4.0,25.0,Mail Check,Yes
1906,36,3,Yes,43.02,40,Salary,89481.6,78,Research,Female,Single,5.0,19.0,Direct Deposit,Yes
1907,36,2,No,71.85,40,Salary,149448.0,88,Sales,Male,Single,6.0,16.0,Direct Deposit,No
1908,36,1,No,33.54,40,Salary,69763.2,27,Sales,Female,Married,2.0,5.0,Mail Check,Yes
1910,23,1,Yes,20.15,40,Salary,43312.0,38,Information Technology,Female,Married,2.0,8.0,Mail Check,No
1911,39,7,Yes,78.29,40,Salary,162843.2,36,Sales,Male,Married,5.0,10.0,Mail Check,Yes
1912,61,17,Yes,49.37,40,Salary,102689.6,22,Research,Male,Divorced,2.0,5.0,Mail Check,Yes
1915,30,8,No,26.44,40,Salary,54995.2,8,Laboratory,Female,Married,2.0,11.0,Mail Check,Yes
1920,53,17,No,43.79,40,Salary,91083.2,84,Sales,Female,Married,5.0,17.0,Mail Check,Yes
1922,29,2,No,23.74,40,Salary,49379.2,83,Sales,Female,Married,2.0,5.0,Mail Check,No
1923,46,19,No,43.05,40,Salary,89544.0,50,Healthcare,Female,Single,7.0,17.0,Mail Check,Yes
1924,53,11,No,32.4,40,Salary,67392.0,79,Manufacturing,Male,Single,9.0,9.0,Mail Check,Yes
1925,54,20,No,32.91,40,Salary,68452.8,32,Research,Male,Married,2.0,14.0,Mail Check,Yes
1927,59,7,No,61.83,40,Salary,128606.4,55,Laboratory,Male,Married,8.0,25.0,Mail Check,Yes
1928,60,14,No,49.84,40,Salary,103667.2,49,Healthcare,Female,Single,1.0,18.0,Direct Deposit,No
1932,39,3,No,56.05,40,Salary,116584.0,83,Human Resources,Female,Divorced,4.0,20.0,Mail Check,Yes
1934,41,1,Yes,31.92,40,Salary,66393.6,28,Human Resources,Female,Married,7.0,7.0,Mail Check,Yes
1935,44,7,Yes,37.83,40,Salary,78686.4,1,Laboratory,Female,Divorced,2.0,7.0,Mail Check,Yes
1936,44,8,No,62.36,40,Salary,129708.8,50,Information Technology,Male,Married,7.0,25.0,Mail Check,Yes
1937,37,1,Yes,47.29,40,Salary,98363.2,73,Sales,Male,Single,5.0,20.0,Mail Check,No
1941,51,20,No,72.27,40,Salary,150321.6,81,Marketing,Female,Single,5.0,10.0,Mail Check,No
1943,57,8,Yes,60.83,40,Salary,126526.4,68,Human Resources,Female,Married,2.0,8.0,Mail Check,Yes
1944,38,3,No,32.02,40,Salary,66601.6,26,Human Resources,Male,Married,1.0,22.0,Direct Deposit,Yes
1945,39,9,Yes,45.4,40,Salary,94432.0,46,Information Technology,Male,Single,3.0,23.0,Mail Check,No
1946,26,3,No,21.4,40,Salary,44512.0,13,Marketing,Female,Married,1.0,22.0,Mail Check,Yes
1948,58,12,No,71.64,40,Salary,149011.2,54,Research,Female,Married,5.0,19.0,Mail Check,Yes
1949,52,16,No,57.6,40,Salary,133808.0,27,Healthcare,Female,Divorced,4.0,19.0,Mail Check,Yes
1950,60,19,No,45.6,40,Salary,94848.0,44,Marketing,Male,Single,5.0,18.0,Mail Check,No
1951,40,10,No,32.73,40,Salary,68078.4,66,Manufacturing,Male,Married,9.0,11.0,Mail Check,Yes
1952,44,15,Yes,57.55,40,Salary,133704.0,25,Healthcare,Male,Divorced,2.0,18.0,Mail Check,Yes
1954,38,8,Yes,43.67,40,Salary,90833.6,82,Laboratory,Female,Married,3.0,16.0,Mail Check,Yes
1958,54,19,No,33.07,40,Salary,68785.6,4,Research,Male,Married,9.0,6.0,Mail Check,Yes
1960,30,4,Yes,23.54,40,Salary,48963.2,44,Research,Male,Single,2.0,8.0,Direct Deposit,Yes
1962,59,15,No,33.74,40,Salary,41059.2,33,Human Resources,Male,Married,9.0,16.0,Mail Check,No
1964,33,7,Yes,23.54,40,Salary,48963.2,78,Information Technology,Male,Single,5.0,16.0,Direct Deposit,Yes
1966,52,19,Yes,72.72,40,Salary,151257.6,36,Marketing,Female,Married,3.0,12.0,Mail Check,Yes
1973,47,10,Yes,71.65,40,Salary,149032.0,76,Human Resources,Female,Single,4.0,13.0,Mail Check,No
1975,36,7,Yes,27.04,40,Salary,56243.2,27,Research,Female,Divorced,5.0,17.0,Mail Check,No
1976,48,5,No,41.5,40,Salary,86320.0,86,Sales,Male,Divorced,5.0,5.0,Mail Check,Yes
1978,30,3,No,29.63,40,Salary,61630.4,24,Laboratory,Female,Single,1.0,23.0,Mail Check,Yes
1980,35,3,No,27.45,40,Salary,57096.0,34,Research,Male,Single,4.0,17.0,Mail Check,Yes
1982,42,2,Yes,59.21,40,Salary,123156.8,41,Information Technology,Male,Divorced,6.0,22.0,Mail Check,Yes
1984,37,7,Yes,48.84,40,Salary,101587.2,1,Sales,Male,Divorced,2.0,12.0,Mail Check,Yes
1986,42,2,Yes,38.72,40,Salary,80537.6,12,Information Technology,Female,Married,6.0,20.0,Mail Check,Yes
1988,45,14,No,59.63,40,Salary,124030.4,55,Research,Female,Divorced,8.0,23.0,Mail Check,Yes
1989,52,9,No,64.53,40,Salary,134222.4,52,Sales,Male,Married,7.0,23.0,Direct Deposit,Yes
1990,48,6,Yes,34.14,40,Salary,71011.2,14,Healthcare,Female,Married,9.0,6.0,Mail Check,Yes
1991,46,8,No,51.15,40,Salary,106392.0,65,Marketing,Male,Single,5.0,22.0,Mail Check,No
1992,22,1,Yes,22.59,40,Salary,46987.2,42,Sales,Female,Married,1.0,24.0,Mail Check,No
1998,46,19,No,52.25,40,Salary,108680.0,57,Healthcare,Male,Single,6.0,22.0,Mail Check,No
1999,45,7,Yes,97.93,40,Salary,203694.4,28,Marketing,Male,Married,4.0,21.0,Direct Deposit,Yes
2001,39,2,Yes,56.67,40,Salary,117873.6,0,Healthcare,Female,Married,6.0,19.0,Mail Check,Yes
2007,33,5,Yes,23.08,40,Salary,48006.4,7,Sales,Male,Single,5.0,24.0,Mail Check,Yes
2008,23,1,Yes,22.53,40,Salary,46862.4,54,Manufacturing,Female,Single,2.0,17.0,Mail Check,Yes
2009,56,14,No,55.66,40,Salary,115772.8,4,Healthcare,Female,Divorced,6.0,15.0,Direct Deposit,Yes
2010,45,5,No,64.24,40,Salary,133633.2,31,Marketing,Female,Married,4.0,20.0,Direct Deposit,Yes
2012,55,18,No,49.03,40,Salary,103382.4,57,Information Technology,Male,Single,6.0,25.0,Mail Check,No
2013,38,7,Yes,84.98,40,Salary,176758.4,66,Laboratory,Male,Single,1.0,21.0,Mail Check,No
2018,33,1,No,26.32,40,Salary,54745.6,75,Sales,Female,Married,4.0,7.0,Mail Check,Yes
2019,29,4,No,24.41,40,Salary,50772.8,3,Research,Male,Single,2.0,7.0,Direct Deposit,Yes
2020,41,2,No,48.42,40,Salary,100713.6,87,Human Resources,Male,Married,6.0,18.0,Mail Check,Yes
2021,25,2,No,20.87,40,Salary,43409.6,54,Information Technology,Female,Single,3.0,13.0,Mail Check,Yes
2025,38,4,Yes,74.07,40,Salary,154065.6,65,Research,Female,Divorced,4.0,16.0,Mail Check,Yes
2028,37,10,No,28.81,40,Salary,59924.8,71,Information Technology,Male,Married,6.0,15.0,Mail Check,Yes
2031,60,19,No,78.51,40,Salary,163300.8,66,Sales,Female,Married,6.0,23.0,Mail Check,Yes
2038,36,4,No,29.67,40,Salary,61713.6,62,Research,Female,Single,5.0,19.0,Direct Deposit,Yes
2039,38,8,No,39.97,40,Salary,83137.6,8,Manufacturing,Male,Single,2.0,14.0,Mail Check,Yes
2040,51,18,Yes,37.47,40,Salary,77937.6,28,Laboratory,Female,Single,4.0,18.0,Mail Check,Yes
2041,28,1,No,24.43,40,Salary,50814.4,41,Research,Female,Divorced,1.0,7.0,Direct Deposit,Yes
2043,60,16,No,35.45,40,Salary,73736.0,34,Marketing,Male,Married,2.0,17.0,Mail Check,Yes
2045,50,17,No,37.22,40,Salary,77417.6,84,Marketing,Male,Divorced,4.0,24.0,Mail Check,Yes
2046,50,9,No,36.89,40,Salary,76731.2,30,Laboratory,Female,Divorced,3.0,15.0,Mail Check,Yes
2047,53,14,Yes,62.62,40,Salary,130249.6,33,Research,Male,Married,3.0,6.0,Mail Check,Yes
2049,36,10,No,43.78,40,Salary,91062.4,57,Marketing,Male,Divorced,4.0,14.0,Mail Check,Yes
2050,23,1,Yes,20.41,40,Salary,42452.8,42,Information Technology,Male,Single,3.0,18.0,Mail Check,Yes
2054,40,5,No,39.31,40,Salary,81764.8,50,Laboratory,Male,Single,5.0,12.0,Mail Check,Yes
2056,41,9,Yes,53.88,40,Salary,112070.4,48,Laboratory,Male,Divorced,4.0,24.0,Direct Deposit,Yes
2060,39,4,Yes,71.41,40,Salary,148532.8,42,Sales,Male,Married,2.0,21.0,Mail Check,Yes
2061,58,12,Yes,77.31,40,Salary,160804.8,20,Human Resources,Female,Married,1.0,15.0,Mail Check,Yes
2063,60,12,No,60.8,40,Salary,126464.0,42,Marketing,Male,Divorced,8.0,14.0,Mail Check,Yes
2069,60,14,Yes,39.46,40,Salary,82076.8,26,Manufacturing,Female,Married,1.0,13.0,Mail Check,Yes
2070,49,10,Yes,97.77,40,Salary,203361.6,43,Research,Female,Married,8.0,14.0,Mail Check,Yes
2072,54,8,No,59.71,40,Salary,124336.8,63,Manufacturing,Male,Married,4.0,16.0,Mail Check,Yes
2074,31,4,No,26.32,40,Salary,54745.6,67,Information Technology,Female,Single,1.0,13.0,Mail Check,Yes
2075,58,14,No,56.8,40,Salary,128144.0,82,Healthcare,Male,Divorced,4.0,11.0,Direct Deposit,Yes
2076,35,9,No,29.26,40,Salary,61539.2,54,Human Resources,Female,Married,6.0,12.0,Mail Check,Yes
2077,61,16,Yes,39.68,40,Salary,82534.4,53,Research,Female,Divorced,1.0,19.0,Direct Deposit,Yes
2078,56,18,No,53.12,40,Salary,110489.6,89,Laboratory,Male,Married,2.0,12.0,Mail Check,Yes
2083,38,7,No,29.9,40,Salary,62332.0,7,Manufacturing,Male,Single,1.0,20.0,Direct Deposit,Yes
2087,29,5,No,24.49,40,Salary,50939.2,55,Human Resources,Male,Single,2.0,15.0,Direct Deposit,Yes
2092,33,8,Yes,29.64,40,Salary,61651.2,48,Healthcare,Female,Single,2.0,10.0,Mail Check,Yes
2094,57,14,No,37.61,40,Salary,78228.8,58,Information Technology,Female,Married,9.0,23.0,Direct Deposit,Yes
2095,43,1,No,71.46,40,Salary,148636.8,47,Marketing,Female,Divorced,7.0,13.0,Mail Check,Yes
2099,45,16,Yes,75.37,40,Salary,156769.6,66,Healthcare,Female,Divorced,6.0,10.0,Mail Check,Yes
2101,44,18,Yes,44.14,40,Salary,92811.2,11,Research,Male,Divorced,4.0,20.0,Mail Check,Yes
2106,37,3,No,26.26,40,Salary,54620.8,78,Healthcare,Female,Single,3.0,15.0,Mail Check,Yes
2109,33,5,No,25.64,40,Salary,53331.2,3,Human Resources,Male,Divorced,2.0,15.0,Mail Check,Yes
2110,46,9,No,76.9,40,Salary,159952.0,53,Sales,Male,Married,5.0,10.0,Mail Check,Yes
2112,47,18,No,34.62,40,Salary,72009.6,42,Research,Male,Married,1.0,19.0,Mail Check,Yes
2114,47,16,No,70.89,40,Salary,147451.2,77,Marketing,Female,Married,9.0,9.0,Mail Check,Yes
2116,26,3,Yes,22.28,40,Salary,46134.4,5,Human Resources,Male,Married,3.0,9.0,Direct Deposit,Yes
2120,47,8,Yes,85.34,40,Salary,177507.2,21,Research,Female,Married,7.0,19.0,Mail Check,Yes
2121,40,7,Yes,26.91,40,Salary,55972.8,88,Sales,Male,Divorced,8.0,11.0,Mail Check,Yes
2124,32,6,Yes,28.31,40,Salary,58884.8,67,Sales,Male,Divorced,1.0,25.0,Mail Check,Yes
2125,26,3,No,20.69,40,Salary,43035.2,88,Sales,Male,Single,2.0,21.0,Direct Deposit,Yes
2127,47,10,No,77.25,40,Salary,160680.0,22,Healthcare,Male,Divorced,4.0,24.0,Direct Deposit,Yes
2132,30,6,Yes,28.47,40,Salary,38417.6,80,Healthcare,Male,Divorced,1.0,13.0,Mail Check,Yes
2134,46,18,Yes,68.2,40,Salary,142856.0,15,Manufacturing,Female,Married,1.0,19.0,Mail Check,Yes
2136,59,11,Yes,41.69,40,Salary,86715.2,0,Laboratory,Male,Married,5.0,23.0,Mail Check,Yes
2140,53,11,Yes,48.22,40,Salary,100297.6,13,Healthcare,Female,Divorced,8.0,19.0,Direct Deposit,Yes
2143,35,5,Yes,24.35,40,Salary,50648.0,79,Human Resources,Male,Divorced,3.0,24.0,Mail Check,Yes
2144,59,5,Yes,59.31,40,Salary,123364.8,83,Sales,Male,Married,9.0,10.0,Direct Deposit,Yes
2145,42,3,No,34.88,40,Salary,72550.4,40,Human Resources,Female,Single,2.0,18.0,Mail Check,Yes
2147,52,12,No,39.76,40,Salary,82700.8,82,Marketing,Male,Single,1.0,5.0,Direct Deposit,Yes
2150,30,7,No,24.42,40,Salary,50793.6,29,Sales,Male,Married,1.0,11.0,Mail Check,Yes
2152,23,1,Yes,22.41,40,Salary,46612.8,52,Sales,Female,Single,3.0,24.0,Mail Check,Yes
2154,43,3,No,75.92,40,Salary,157913.6,75,Manufacturing,Male,Married,6.0,9.0,Mail Check,Yes
2155,44,8,No,66.27,40,Salary,137841.6,53,Research,Female,Divorced,3.0,13.0,Direct Deposit,Yes
2161,39,5,No,86.01,40,Salary,178900.8,56,Information Technology,Female,Married,4.0,10.0,Mail Check,Yes
2162,52,14,No,34.17,40,Salary,71073.6,36,Research,Male,Married,3.0,8.0,Mail Check,Yes
2164,30,8,Yes,28.83,40,Salary,59966.4,33,Manufacturing,Female,Married,2.0,24.0,Direct Deposit,Yes
2167,35,6,Yes,28.29,40,Salary,38043.2,60,Marketing,Female,Divorced,6.0,18.0,Mail Check,Yes
2170,35,5,Yes,27.64,40,Salary,57491.2,37,Human Resources,Male,Single,1.0,10.0,Mail Check,Yes
2171,49,18,No,69.84,40,Salary,145267.2,51,Healthcare,Male,Divorced,5.0,6.0,Direct Deposit,Yes
2172,38,10,Yes,31.28,40,Salary,64854.4,32,Research,Female,Single,4.0,5.0,Mail Check,Yes
2173,39,4,Yes,65.34,40,Salary,135907.2,64,Human Resources,Female,Divorced,5.0,14.0,Direct Deposit,Yes
2175,31,6,Yes,25.35,40,Salary,52728.0,83,Information Technology,Female,Single,3.0,23.0,Mail Check,Yes
2177,38,1,Yes,85.76,40,Salary,178380.8,16,Human Resources,Female,Divorced,6.0,12.0,Direct Deposit,Yes
2181,47,7,Yes,31.28,40,Salary,64854.4,60,Manufacturing,Male,Married,6.0,18.0,Mail Check,Yes
2184,47,11,Yes,34.84,40,Salary,72467.2,5,Laboratory,Male,Married,8.0,9.0,Mail Check,Yes
2187,38,5,No,27.1,40,Salary,56368.0,22,Research,Male,Married,4.0,17.0,Mail Check,Yes
2188,59,8,No,67.01,40,Salary,139380.8,33,Information Technology,Female,Divorced,5.0,17.0,Direct Deposit,Yes
2192,43,9,Yes,34.8,40,Salary,72384.0,78,Marketing,Male,Single,2.0,18.0,Direct Deposit,Yes
2194,39,4,No,63.28,40,Salary,131622.4,25,Research,Male,Married,4.0,25.0,Mail Check,Yes
2197,24,1,No,21.35,40,Salary,44408.0,13,Healthcare,Male,Married,3.0,9.0,Mail Check,Yes
2200,55,20,Yes,51.22,40,Salary,106537.6,64,Manufacturing,Male,Divorced,1.0,19.0,Mail Check,Yes
2208,24,1,No,20.08,40,Salary,41766.4,5,Research,Male,Single,1.0,19.0,Mail Check,Yes
2209,52,9,No,42.5,40,Salary,88400.0,61,Sales,Male,Married,7.0,14.0,Direct Deposit,Yes
2210,49,13,Yes,42.9,40,Salary,89232.0,17,Sales,Male,Divorced,3.0,21.0,Mail Check,Yes
2211,30,7,No,24.73,40,Salary,51438.4,51,Manufacturing,Female,Divorced,2.0,5.0,Mail Check,Yes
2213,32,9,Yes,27.77,40,Salary,57761.6,41,Marketing,Male,Single,2.0,12.0,Mail Check,Yes
2215,59,8,Yes,43.09,40,Salary,89627.2,0,Information Technology,Female,Single,3.0,19.0,Mail Check,Yes
2217,57,18,No,70.39,40,Salary,146411.2,37,Research,Female,Divorced,4.0,25.0,Mail Check,Yes
2218,37,5,Yes,31.44,40,Salary,65395.2,36,Marketing,Male,Single,6.0,23.0,Mail Check,Yes
2219,33,7,Yes,22.97,40,Salary,47777.6,12,Research,Female,Single,2.0,23.0,Mail Check,Yes
2220,61,16,No,76.08,40,Salary,158246.4,40,Sales,Female,Divorced,6.0,7.0,Mail Check,Yes
2223,36,8,Yes,35.55,40,Salary,73944.0,76,Information Technology,Female,Married,5.0,16.0,Mail Check,Yes
2225,38,10,No,29.87,40,Salary,62129.6,36,Information Technology,Male,Married,2.0,25.0,Mail Check,Yes
2232,42,3,No,50.92,40,Salary,105913.6,9,Sales,Female,Divorced,1.0,19.0,Mail Check,Yes
2233,59,14,Yes,61.24,40,Salary,127379.2,89,Marketing,Female,Divorced,1.0,11.0,Direct Deposit,Yes
2238,60,12,Yes,41.06,40,Salary,85404.8,69,Healthcare,Female,Single,3.0,18.0,Mail Check,Yes
2240,25,3,No,20.03,40,Salary,41662.4,51,Manufacturing,Female,Single,2.0,5.0,Mail Check,Yes
2246,34,9,No,29.38,40,Salary,63931.2,62,Information Technology,Male,Married,5.0,9.0,Mail Check,Yes
2247,42,7,No,96.78,40,Salary,201302.4,25,Manufacturing,Female,Divorced,8.0,8.0,Mail Check,Yes
2250,60,13,Yes,54.83,40,Salary,114046.4,25,Research,Female,Married,4.0,12.0,Mail Check,Yes
2251,43,9,Yes,35.38,40,Salary,73590.4,63,Marketing,Male,Divorced,2.0,12.0,Direct Deposit,Yes
2252,42,3,No,77.91,40,Salary,162052.8,32,Manufacturing,Female,Divorced,6.0,22.0,Mail Check,Yes
2255,59,5,No,47.11,40,Salary,97988.8,55,Research,Male,Married,5.0,11.0,Mail Check,Yes
2256,54,5,No,52.49,40,Salary,109179.2,1,Manufacturing,Female,Divorced,5.0,14.0,Direct Deposit,Yes
2257,42,1,No,74.33,40,Salary,154606.4,34,Manufacturing,Male,Married,4.0,11.0,Mail Check,Yes
2259,44,10,No,80.15,40,Salary,166712.0,54,Human Resources,Female,Divorced,7.0,5.0,Mail Check,Yes
2267,41,7,Yes,64.81,40,Salary,134804.8,43,Human Resources,Female,Divorced,3.0,18.0,Mail Check,Yes
2269,43,2,No,70.5,40,Salary,146640.0,25,Sales,Female,Married,4.0,14.0,Direct Deposit,Yes
2270,52,16,Yes,70.79,40,Salary,147243.2,76,Information Technology,Female,Divorced,3.0,6.0,Mail Check,Yes
2278,57,10,No,40.83,40,Salary,84926.4,20,Human Resources,Female,Single,2.0,19.0,Mail Check,Yes
2282,44,14,Yes,35.88,40,Salary,74630.4,52,Information Technology,Female,Single,9.0,7.0,Mail Check,Yes
2283,47,15,No,38.1,40,Salary,79248.0,74,Research,Male,Single,4.0,6.0,Mail Check,Yes
2287,40,6,No,29.51,40,Salary,61380.8,50,Human Resources,Male,Married,9.0,10.0,Direct Deposit,Yes
2288,37,2,Yes,62.26,40,Salary,129500.8,28,Laboratory,Female,Divorced,1.0,21.0,Mail Check,Yes
2289,56,10,Yes,49.47,40,Salary,102897.6,38,Sales,Female,Divorced,1.0,22.0,Direct Deposit,Yes
2290,60,13,No,40.74,40,Salary,84739.2,81,Human Resources,Female,Married,5.0,17.0,Mail Check,Yes
2299,34,6,Yes,24.64,40,Salary,51251.2,57,Research,Female,Single,6.0,17.0,Mail Check,Yes
2302,45,20,Yes,97.65,40,Salary,203112.0,55,Research,Female,Divorced,2.0,19.0,Mail Check,Yes
2306,33,4,No,30.94,40,Salary,64355.2,41,Manufacturing,Male,Divorced,1.0,8.0,Mail Check,Yes
2307,40,4,No,29.15,40,Salary,60632.0,33,Healthcare,Male,Single,1.0,22.0,Mail Check,Yes
2312,24,1,No,22.14,40,Salary,46051.2,58,Manufacturing,Female,Married,1.0,20.0,Mail Check,Yes
2313,35,10,No,24.46,40,Salary,50876.8,77,Manufacturing,Female,Single,4.0,6.0,Mail Check,Yes
2314,23,1,Yes,20.93,40,Salary,43534.4,42,Sales,Female,Single,1.0,24.0,Direct Deposit,Yes
